Discrete,Investors,Team,Community Rewards,Ecosystem Development,TOTAL,,Cumulative,Investors,Team,Community Rewards,Ecosystem Development,TOTAL,INCREMENTAL
Month 0,0.00,0.00,"1,400,000,000.00",0.00,"1,400,000,000.00",,Month 0,0.00,0.00,"1,400,000,000.00",0.00,"1,400,000,000.00","1,400,000,000.00"
Month 1,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 1,0.00,0.00,"1,400,000,000.00","24,636,359.90","1,424,636,359.90","24,636,359.90"
Month 2,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 2,0.00,0.00,"1,400,000,000.00","49,272,719.79","1,449,272,719.79","24,636,359.89"
Month 3,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 3,0.00,0.00,"1,400,000,000.00","73,909,079.69","1,473,909,079.69","24,636,359.90"
Month 4,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 4,0.00,0.00,"1,400,000,000.00","98,545,439.58","1,498,545,439.58","24,636,359.89"
Month 5,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 5,0.00,0.00,"1,400,000,000.00","123,181,799.48","1,523,181,799.48","24,636,359.90"
Month 6,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 6,0.00,0.00,"1,400,000,000.00","147,818,159.38","1,547,818,159.38","24,636,359.90"
Month 7,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 7,0.00,0.00,"1,400,000,000.00","172,454,519.27","1,572,454,519.27","24,636,359.89"
Month 8,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 8,0.00,0.00,"1,400,000,000.00","197,090,879.17","1,597,090,879.17","24,636,359.90"
Month 9,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 9,0.00,0.00,"1,400,000,000.00","221,727,239.06","1,621,727,239.06","24,636,359.89"
Month 10,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 10,0.00,0.00,"1,400,000,000.00","246,363,598.96","1,646,363,598.96","24,636,359.90"
Month 11,0.00,0.00,0.00,"24,636,359.90","24,636,359.90",,Month 11,0.00,0.00,"1,400,000,000.00","270,999,958.85","1,670,999,958.85","24,636,359.89"
Month 12,"194,302,500.00","168,315,708.75",0.00,"24,636,359.90","387,254,568.65",,Month 12,"194,302,500.00","168,315,708.75","1,400,000,000.00","295,636,318.75","2,058,254,527.50","387,254,568.65"
Month 13,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 13,"224,887,152.78","194,809,848.09","1,400,000,000.00","320,272,678.65","2,139,969,679.51","81,715,152.01"
Month 14,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 14,"255,471,805.56","221,303,987.43","1,400,000,000.00","344,909,038.54","2,221,684,831.53","81,715,152.02"
Month 15,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 15,"286,056,458.33","247,798,126.77","1,400,000,000.00","369,545,398.44","2,303,399,983.54","81,715,152.01"
Month 16,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 16,"316,641,111.11","274,292,266.11","1,400,000,000.00","394,181,758.33","2,385,115,135.56","81,715,152.02"
