,,,,,,,,,,,,,
CONFIDENTIAL DRAFT - FOR DISCUSSION PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Genesis I (BVI),0xf3342d2740622B001558AC632A4FE3383772EEEd,,,,,,,,,
,,,Genesis II (Fdn),0xC511541a041616F15E129C064E6bBCDb5cBA14d6,,,,,,,,,
,,,Grayscale,0xce1eF60a9A4829D4EF5542D34f9ea7b95ce0C833,,,,,TRUE,,,,
,,,Toku multisig (x2B),0x9e2d915F6c10bD33F8b5f2eE155c9F76c2486E9B,,,,,Unique 102,,,,
,Indiv 113,,,,,100.0000%,"5,000,000,000",5.00E+27,Indiv 113,,26,18,17
,Segment,Wallet ID,Delivery Status,TGE Destination,Final Destination,%,SXT, attoSXT,TGE Address,Etherscan Link,ethBalance,sxtBalance,
,Team,Florida,Delivered,Anchorage,Anchorage,0.0028%,"141,666",1.42E+23,0x5F4D6682702Ab016F00d99Ada460b6c036B13958,View on Etherscan,Loading...,Loading...,Loading...
,Team,Colorado,Delivered,Anchorage,Anchorage,0.0028%,"141,667",1.42E+23,0x88d01FD6FAC8ca3950a1c6305204d2458d2D811F,View on Etherscan,Loading...,Loading...,Loading...
,Team,Virginia,Delivered,Anchorage,Anchorage,0.0040%,"200,000",2.00E+23,0xC7EF0319F717B7dF9E7b290ae9a778AE529d89D5,View on Etherscan,Loading...,Loading...,Loading...
,Team,New York,Delivered,Anchorage,Anchorage,0.0050%,"250,000",2.50E+23,0x86aed7AE191e4b115a0854B9ba4088a1D8e86959,View on Etherscan,Loading...,Loading...,Loading...
,Team,Shenandoah,Delivered,Anchorage,Anchorage,0.0060%,"299,686",3.00E+23,0xbA4a8d0710d90f3a501155c449e52d4E56d69868,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Maine,Delivered,Anchorage,Anchorage,0.0064%,"320,833",3.21E+23,0xf159313c3afC4C6acC0C05a541a160604D09d447,View on Etherscan,Loading...,Loading...,Loading...
,Team,Everglades,Delivered,Anchorage,Anchorage,0.0064%,"320,833",3.21E+23,0x85Ffb9d35B5cB4203acAf5A76fa6c6aA6DfbDFdE,View on Etherscan,Loading...,Loading...,Loading...
,Team,Alabama,Delivered,Anchorage,Anchorage,0.0085%,"425,000",4.25E+23,0x95B0a04742CF4fb63b0450EbE39d49385135C776,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Maryland,Delivered,Anchorage,Anchorage,0.0085%,"425,000",4.25E+23,0x41Ce9B96b55CECB3e87010dc34365A8Ed8deF854,View on Etherscan,Loading...,Loading...,Loading...
,Team,Wind Cave,Delivered,Anchorage,Anchorage,0.0100%,"500,000",5.00E+23,0x332669FCBb58BF7325BF38F5286F8a664eC75f6b,View on Etherscan,Loading...,Loading...,Loading...
,Team,Rhode Island,Delivered,Anchorage,Anchorage,0.0103%,"512,500",5.13E+23,0x1Bb859ADF98D961c0EE04bBA179843f52324E497,View on Etherscan,Loading...,Loading...,Loading...
,Team,Katmai,Delivered,Anchorage,Anchorage,0.0143%,"712,500",7.13E+23,0x9507f32A561f2B14bbB5cfBD03f07bB5B56Be382,View on Etherscan,Loading...,Loading...,Loading...
,Team,Mammoth Cave,Delivered,Anchorage,Anchorage,0.0150%,"750,000",7.50E+23,0x6056BA82ed26E224D187c89aD5f52DC74eA4B8bd,View on Etherscan,Loading...,Loading...,Loading...
